group,page,path,slot_key,slot_label,type,section,required,baseline_status,priority,recommended_size,recommended_aspect,recommended_format,mobile_safe_area,recommended_use,current_source,current_source_dimensions,alt_snapshot
Shared site,Shared site,@site,site.header.logo,Header / Devil n Dove logo,image,header,Yes,authored_default,Complete/default,1080×1080,1:1,Transparent PNG or WebP,Keep the full mark inside the canvas with about 8% clear padding on every edge.,Brand/logo artwork; preserve transparent background and generous clear space.,/assets/logo-clear.png,1080×1080,Devil n Dove logo
Core website,Home,/,home.what.visual.2,Home / What we make / Visual 2,image,content,No,recommended_replacement,P2 recommended,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/placeholders/media-content/home-what-we-make-2.svg,800×520 SVG viewBox,Editable workshop category visual 2
Core website,Home,/,home.what.visual.3,Home / What we make / Visual 3,image,content,No,recommended_replacement,P2 recommended,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/placeholders/media-content/home-what-we-make-3.svg,800×520 SVG viewBox,Editable workshop category visual 3
Core website,About,/about/,about.hero.image,About / Hero image,image,banner,Yes,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the main subject in the centre 70%; avoid critical detail at the outer 15%.,"Hero/banner image; strong subject, enough negative space for responsive cropping.",/assets/images/site/about-real-workshop.webp,1600×1000,Devil n Dove maker and workshop story
Core website,About,/about/,about.image.1,About / Devil n Dove maker and workshop story,image,content,No,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/images/site/about-real-workshop.webp,1600×1000,Devil n Dove maker and workshop story
Core website,About,/about/,about.image.2,About / Workshop and product collage,image,content,No,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/mainpage-collage.webp,900×1600,Workshop and product collage
Core website,About,/about/,about.image.3,About / Devil n Dove mark,image,content,No,authored_default,Complete/default,1080×1080,1:1,Transparent PNG or WebP,Keep the full mark inside the canvas with about 8% clear padding on every edge.,Brand/logo artwork; preserve transparent background and generous clear space.,/assets/mark.png,1416×1024,Devil n Dove mark
Core website,About,/about/,about.section.visual.1,About / What we do visual,image,content,No,recommended_replacement,P2 recommended,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/placeholders/media-content/about-section-visual-1.svg,1200×720 SVG viewBox,Placeholder for What we do
Core website,Gallery,/gallery/,gallery.hero.image,Gallery / Primary page image,image,content,Yes,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the main subject in the centre 70%; avoid critical detail at the outer 15%.,"Hero/banner image; strong subject, enough negative space for responsive cropping.",/assets/images/site/gallery-item-specific-collage.webp,1600×1000,Collage of Devil n Dove finished work and workshop process
Core website,Gallery,/gallery/,gallery.background.section-0,Gallery / Section background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Core website,Gallery,/gallery/,gallery.background.section-1,Gallery / Section background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Core website,Gallery,/gallery/,gallery.background.section-2,Gallery / Gallery proof photo background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Core website,Showcase / Creations,/creations/,creations.hero.image,Showcase / Creations / Primary page image,image,content,Yes,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the main subject in the centre 70%; avoid critical detail at the outer 15%.,"Hero/banner image; strong subject, enough negative space for responsive cropping.",/assets/images/site/creation-in-progress.webp,1600×1000,Creative process photo
Core website,Showcase / Creations,/creations/,creations.section.visual.1,"Showcase / Creations / Handmade, vintage, and collectible trust guide visual",image,content,No,recommended_replacement,P2 recommended,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/placeholders/media-content/creations-section-visual-1.svg,1200×720 SVG viewBox,"Placeholder for Handmade, vintage, and collectible trust guide"
Core website,Showcase / Creations,/creations/,creations.background.hero,Showcase / Creations / Hero background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Core website,Showcase / Creations,/creations/,creations.background.section-1,Showcase / Creations / Creative process photo background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Core website,Showcase / Creations,/creations/,creations.background.section-2,"Showcase / Creations / Handmade, vintage, and collectible trust guide background",background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Core website,Workshop / Workroom Journal,/workshop-journal/,workshop-journal.hero.image,Workshop / Workroom Journal / Hero image,image,banner,Yes,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the main subject in the centre 70%; avoid critical detail at the outer 15%.,"Hero/banner image; strong subject, enough negative space for responsive cropping.",/assets/images/site/workshop-journal-storytelling.webp,1200×1200,Representative Devil n Dove workshop journal and maker story photo
Core website,Workshop / Workroom Journal,/workshop-journal/,workshop-journal.image.2,"Workshop / Workroom Journal / Representative Devil n Dove workshop tools, materials and creative paths",image,content,No,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/images/site/workshop-creative-paths.webp,1600×1000,"Representative Devil n Dove workshop tools, materials and creative paths"
Core website,Workshop / Workroom Journal,/workshop-journal/,workshop-journal.section.visual.1,Workshop / Workroom Journal / Why this journal exists visual,image,content,No,recommended_replacement,P2 recommended,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/placeholders/media-content/workshop-journal-section-visual-1.svg,1200×720 SVG viewBox,Placeholder for Why this journal exists
Core website,Workshop / Workroom Journal,/workshop-journal/,workshop-journal.background.hero,Workshop / Workroom Journal / Hero background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Core website,Workshop / Workroom Journal,/workshop-journal/,workshop-journal.background.section-1,Workshop / Workroom Journal / Why this journal exists background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Core website,Workshop / Workroom Journal,/workshop-journal/,workshop-journal.background.section-2,Workshop / Workroom Journal / Section background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Core website,Collections,/collections/,collections.hero.image,Collections / Primary page image,image,content,Yes,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the main subject in the centre 70%; avoid critical detail at the outer 15%.,"Hero/banner image; strong subject, enough negative space for responsive cropping.",/assets/images/site/collection-overview.webp,1600×1000,Collection overview photo
Core website,Collections,/collections/,collections.section.visual.1,Collections / Why this page exists visual,image,content,No,recommended_replacement,P2 recommended,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/placeholders/media-content/collections-section-visual-1.svg,1200×720 SVG viewBox,Placeholder for Why this page exists
Core website,Collections,/collections/,collections.background.hero,Collections / Hero background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Core website,Collections,/collections/,collections.background.section-1,Collections / Collection overview photo background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Core website,Collections,/collections/,collections.background.section-2,Collections / Why this page exists background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Core website,Contact,/contact/,contact.hero.image,Contact / Hero image,image,banner,Yes,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the main subject in the centre 70%; avoid critical detail at the outer 15%.,"Hero/banner image; strong subject, enough negative space for responsive cropping.",/assets/images/site/about-real-workshop.webp,1600×1000,Devil n Dove maker and workshop story photograph
Core website,Contact,/contact/,contact.image.1,Contact / Devil n Dove maker and workshop story photograph,image,content,No,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/images/site/about-real-workshop.webp,1600×1000,Devil n Dove maker and workshop story photograph
Core website,Contact,/contact/,contact.section.visual.1,Contact / Where to find us visual,image,content,No,recommended_replacement,P2 recommended,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/placeholders/media-content/contact-section-visual-1.svg,1200×720 SVG viewBox,Placeholder for Where to find us
Core website,Gift Cards,/gift-cards/,gift-cards.hero.image,Gift Cards / Hero image,image,banner,Yes,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the main subject in the centre 70%; avoid critical detail at the outer 15%.,"Hero/banner image; strong subject, enough negative space for responsive cropping.",/assets/images/site/gift-card-mockup.webp,1600×1000,Devil n Dove gift card artwork mockup
Core website,Gift Cards,/gift-cards/,gift-cards.image.2,Gift Cards / Devil n Dove gift-card artwork mockup,image,content,No,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/images/site/gift-card-mockup.webp,1600×1000,Devil n Dove gift-card artwork mockup
Core website,Gift Cards,/gift-cards/,gift-cards.section.visual.1,Gift Cards / Good for flexible handmade gifting visual,image,content,No,recommended_replacement,P2 recommended,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/placeholders/media-content/gift-cards-section-visual-1.svg,1200×720 SVG viewBox,Placeholder for Good for flexible handmade gifting
Core website,Gift Cards,/gift-cards/,gift-cards.background.hero,Gift Cards / Hero background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Core website,Gift Cards,/gift-cards/,gift-cards.background.section-1,Gift Cards / Gift card packaging photo background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Core website,Gift Cards,/gift-cards/,gift-cards.background.section-2,Gift Cards / Good for flexible handmade gifting background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Core website,Events & Markets,/events/,events.hero.image,Events & Markets / Hero image,image,banner,Yes,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the main subject in the centre 70%; avoid critical detail at the outer 15%.,"Hero/banner image; strong subject, enough negative space for responsive cropping.",/assets/images/site/events-display-collage.webp,1600×1000,Representative Devil n Dove market and product display collage
Core website,Events & Markets,/events/,events.image.1,Events & Markets / Representative Devil n Dove market and product display collage,image,content,No,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/images/site/events-display-collage.webp,1600×1000,Representative Devil n Dove market and product display collage
Core website,Events & Markets,/events/,events.section.visual.1,Events & Markets / Good follow-up pages visual,image,content,No,recommended_replacement,P2 recommended,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/placeholders/media-content/events-section-visual-1.svg,1200×720 SVG viewBox,Placeholder for Good follow-up pages
Core website,Events & Markets,/events/,events.background.hero,Events & Markets / Hero background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Core website,Events & Markets,/events/,events.background.section-1,Events & Markets / Events display photo background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Core website,Events & Markets,/events/,events.background.section-2,Events & Markets / Section background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Core website,Social Hub,/socials/,socials.hero.image,Social Hub / Hero image,image,banner,Yes,required_replacement,P1 required,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the main subject in the centre 70%; avoid critical detail at the outer 15%.,"Hero/banner image; strong subject, enough negative space for responsive cropping.",/assets/placeholders/media-content/socials-section-visual-1.svg,1200×720 SVG viewBox,Placeholder for Follow Devil n Dove
Core website,Social Hub,/socials/,socials.image.1,Social Hub / Social content workbench photo,image,content,No,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/images/site/social-content-workbench.webp,1600×1000,Social content workbench photo
Core website,Social Hub,/socials/,socials.section.visual.1,Social Hub / Follow Devil n Dove visual,image,content,No,recommended_replacement,P2 recommended,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/placeholders/media-content/socials-section-visual-1.svg,1200×720 SVG viewBox,Placeholder for Follow Devil n Dove
Core website,Social Hub,/socials/,socials.background.section-0,Social Hub / Follow Devil n Dove background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Core website,Social Hub,/socials/,socials.background.section-1,Social Hub / Social content workbench photo background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Core website,Social Hub,/socials/,socials.background.section-2,Social Hub / Latest YouTube shorts and videos background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Core website,Shop presentation,/shop/,shop.hero.image,Shop / Hero image,image,banner,Yes,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the main subject in the centre 70%; avoid critical detail at the outer 15%.,"Hero/banner image; strong subject, enough negative space for responsive cropping.",/assets/images/site/shop-item-specific-collage.webp,1600×1000,"Devil n Dove handmade, vintage, soap, candle, and jewelry collection"
Core website,Shop presentation,/shop/,shop.background.hero,Shop / Hero background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Core website,Shop presentation,/shop/,shop.background.clearer,Shop / Clearer-way section background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Core website,Shop presentation,/shop/,shop.background.available,Shop / Available Products background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Core website,Shop presentation,/shop/,shop.featured_collection.image,Shop / Featured collection image,image,content,No,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/images/site/shop-item-specific-collage.webp,1600×1000,"Devil n Dove handmade, vintage, soap, candle, and jewelry collection"
Core website,Shop presentation,/shop/,shop.background.featured_collection,Shop / Featured collection background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Landing pages,Custom Candle Making,/custom-candle-making-ontario/,custom-candle-making-ontario.hero.image,Custom Candle Making / Hero image,image,banner,Yes,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the main subject in the centre 70%; avoid critical detail at the outer 15%.,"Hero/banner image; strong subject, enough negative space for responsive cropping.",/assets/images/site/candle-product-mockup.webp,1600×1000,Representative round candle-top and custom candle presentation
Landing pages,Custom Candle Making,/custom-candle-making-ontario/,custom-candle-making-ontario.image.2,Custom Candle Making / Representative round candle-top and custom candle presentation,image,content,No,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/images/site/candle-product-mockup.webp,1600×1000,Representative round candle-top and custom candle presentation
Landing pages,Custom Candle Making,/custom-candle-making-ontario/,custom-candle-making-ontario.section.visual.1,Custom Candle Making / Helpful details for candle requests visual,image,content,No,recommended_replacement,P2 recommended,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/placeholders/media-content/custom-candle-making-ontario-section-visual-1.svg,1200×720 SVG viewBox,Placeholder for Helpful details for candle requests
Landing pages,Custom Candle Making,/custom-candle-making-ontario/,custom-candle-making-ontario.background.section-0,Custom Candle Making / Helpful details for candle requests background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Landing pages,Custom Candle Making,/custom-candle-making-ontario/,custom-candle-making-ontario.background.section-1,Custom Candle Making / Candle colour photo background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Landing pages,Custom Soap Making,/custom-soap-making-ontario/,custom-soap-making-ontario.hero.image,Custom Soap Making / Hero image,image,banner,Yes,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the main subject in the centre 70%; avoid critical detail at the outer 15%.,"Hero/banner image; strong subject, enough negative space for responsive cropping.",/assets/images/site/soap-product-mockup.webp,1600×1000,Glacial Purple custom soap label and packaging presentation
Landing pages,Custom Soap Making,/custom-soap-making-ontario/,custom-soap-making-ontario.image.2,Custom Soap Making / Glacial Purple custom soap label and packaging presentation,image,content,No,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/images/site/soap-product-mockup.webp,1600×1000,Glacial Purple custom soap label and packaging presentation
Landing pages,Custom Soap Making,/custom-soap-making-ontario/,custom-soap-making-ontario.section.visual.1,Custom Soap Making / Helpful details for soap requests visual,image,content,No,recommended_replacement,P2 recommended,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/placeholders/media-content/custom-soap-making-ontario-section-visual-1.svg,1200×720 SVG viewBox,Placeholder for Helpful details for soap requests
Landing pages,Custom Soap Making,/custom-soap-making-ontario/,custom-soap-making-ontario.background.section-0,Custom Soap Making / Helpful details for soap requests background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Landing pages,Custom Soap Making,/custom-soap-making-ontario/,custom-soap-making-ontario.background.section-1,Custom Soap Making / Soap texture photo background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Landing pages,Custom Gifts,/custom-gifts-southern-ontario/,custom-gifts-southern-ontario.hero.image,Custom Gifts / Hero image,image,banner,Yes,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the main subject in the centre 70%; avoid critical detail at the outer 15%.,"Hero/banner image; strong subject, enough negative space for responsive cropping.",/assets/images/site/custom-gift-process-before-after.webp,1600×1000,Representative Devil n Dove custom gift process in the workshop
Landing pages,Custom Gifts,/custom-gifts-southern-ontario/,custom-gifts-southern-ontario.image.2,Custom Gifts / Custom gift process photo,image,content,No,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/images/site/custom-gift-process-before-after.webp,1600×1000,Custom gift process photo
Landing pages,Custom Gifts,/custom-gifts-southern-ontario/,custom-gifts-southern-ontario.section.visual.1,Custom Gifts / Southern Ontario custom gifts search clarity visual,image,content,No,recommended_replacement,P2 recommended,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/placeholders/media-content/custom-gifts-southern-ontario-section-visual-1.svg,1200×720 SVG viewBox,Placeholder for Southern Ontario custom gifts search clarity
Landing pages,Custom Gifts,/custom-gifts-southern-ontario/,custom-gifts-southern-ontario.background.hero,Custom Gifts / Hero background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Landing pages,Custom Gifts,/custom-gifts-southern-ontario/,custom-gifts-southern-ontario.background.section-1,Custom Gifts / Southern Ontario custom gifts search clarity background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
